dataDate,districtName,mandalName,villageName,pwRegCnt,pwTrkCnt,delCnt,anc1Cnt,anc2Cnt,anc3Cnt,anc4Cnt,chImzCnt,highRiskCnt,govtDelCnt,pvtDelCnt,kitsCnt
November -2024,Adilabad,Adilabad Rural,Addagutta ,0,0,0,0,0,0,0,3,0,0,0,0
November -2024,Adilabad,Adilabad Rural,Allikori ,1,0,2,1,1,1,2,5,1,1,0,0
November -2024,Adilabad,Adilabad Rural,Ankapoor ,0,0,0,0,0,2,1,1,0,0,0,0
November -2024,Adilabad,Adilabad Rural,Ankoli ,0,0,3,2,0,3,0,6,2,1,0,0
November -2024,Adilabad,Adilabad Rural,Anukunta ,0,0,2,1,0,0,1,3,1,0,0,0
November -2024,Adilabad,Adilabad Rural,Arli (Buzurg) ,0,0,1,0,6,0,1,5,1,0,1,0
November -2024,Adilabad,Adilabad Rural,Asodabhurki ,0,0,1,0,3,1,0,5,0,1,0,0
November -2024,Adilabad,Adilabad Rural,Bangariguda ,3,0,6,4,5,8,9,9,4,5,0,0
November -2024,Adilabad,Adilabad Rural,Belluri ,1,0,1,1,2,1,1,3,2,0,0,0
November -2024,Adilabad,Adilabad Rural,Bheemseri ,0,0,7,3,3,3,3,14,0,3,1,0
November -2024,Adilabad,Adilabad Rural,Boppapur ,1,0,1,1,1,1,2,2,0,1,0,0
November -2024,Adilabad,Adilabad Rural,Borenur ,0,0,0,0,0,1,2,1,0,0,0,0
November -2024,Adilabad,Adilabad Rural,Chanda ,1,0,1,1,4,5,2,21,0,0,1,0
November -2024,Adilabad,Adilabad Rural,Chichadhari ,0,0,0,0,0,0,0,5,0,0,0,0
November -2024,Adilabad,Adilabad Rural,Chilatiguda ,0,0,0,0,0,0,0,1,0,0,0,0
November -2024,Adilabad,Adilabad Rural,Chithaguda ,0,0,0,0,0,0,0,1,0,0,0,0
November -2024,Adilabad,Adilabad Rural,Chityalbori ,0,0,0,0,1,0,2,1,1,0,0,0
